district,latitude,longitude,temp_2m,precip
Arghakhanchi,27.9,83.2,26.563,2.6290000000000004
Baglung,28.3,83.6,17.471,1.7060000000000002
Baitadi,29.5,80.5,13.643,0.944
Bajang,29.6,81.2,9.389,0.908
Banke,28.1,81.7,26.227999999999998,2.7350000000000003
Bara,27.2,85.0,27.607999999999997,2.279
Bardiya,28.3,81.4,27.969,2.225
Bhaktapur,27.7,85.5,16.209,1.424
Chitawan,27.7,84.4,25.894,1.843
Dadeldhura,29.3,80.6,21.841,1.486
Dailekh,28.8,81.7,21.250999999999998,2.231
Dang,28.0,82.4,22.347,2.6879999999999997
Darchula,29.9,80.6,13.643,0.944
Dhading,27.7,85.2,20.281,1.575
Dhankuta,27.0,87.3,18.401,1.891
Dhanusa,26.7,85.9,28.927,1.8379999999999999
Dolkha,27.6,86.2,11.148,1.203
Dolpa,29.0,82.9,5.122999999999999,1.249
Doti,29.2,80.9,20.493000000000002,1.425
Gorkha,28.0,84.6,13.430000000000001,1.159
Gulmi,28.1,83.2,17.987000000000002,2.244
Humla,30.0,81.8,2.101,0.6559999999999999
Ilam,26.9,87.9,24.607999999999997,3.928
Jhapa,26.7,87.9,24.86,3.6409999999999996
Jumla,29.3,82.3,14.687000000000001,1.368
Kabhre,27.6,85.6,16.209,1.424
Kailali,28.8,80.8,26.999000000000002,2.122
Kanchanpur,29.0,80.2,23.944,1.677
Kaski,28.2,84.0,16.547,1.3980000000000001
Kathmandu,27.7,85.3,20.281,1.575
Lalitpur,27.6,85.3,20.281,1.575
Lamjung,28.3,84.4,16.085,1.2439999999999998
Mahottari,26.7,85.8,28.927,1.8379999999999999
Makwanpur,27.4,85.0,26.824,2.088
Manang,28.6,84.2,4.721,0.868
Morang,26.5,87.3,25.719,2.7039999999999997
Mugu,29.5,82.1,4.6850000000000005,0.9
Mustang,28.9,83.8,5.921,1.175
Myagdi,28.4,83.6,17.471,1.7060000000000002
Nawalparasi,27.6,84.0,26.047000000000004,2.05
Nuwakot,27.8,85.2,20.281,1.575
Okhaldhunga,27.3,86.5,19.02,1.366
Palpa,27.9,83.5,26.198,2.258
Panchther,27.1,87.8,16.988999999999997,2.495
Parbat,28.2,83.7,17.471,1.7060000000000002
Rasuwa,28.1,85.3,9.863000000000001,1.248
Routahat,26.8,85.3,29.642000000000003,2.357
Rukum,28.6,82.4,14.352,2.001
Rupandehi,27.5,83.4,26.317,2.3819999999999997
Salyan,28.4,82.1,24.062,2.811
Sankhuwasabha,27.3,87.3,18.401,1.891
Saptari,26.6,86.8,26.677999999999997,1.784
Sarlahi,26.9,85.5,27.169,2.007
Sindhuli,27.2,85.9,24.701,1.657
Solukhumbu,28.0,86.8,1.098,1.1840000000000002
Sunsari,26.6,87.1,25.719,2.7039999999999997
Surkhet,28.5,81.7,23.728,2.1270000000000002
Syangja,28.0,83.8,21.834,1.9819999999999998
Tanahun,28.0,84.1,16.085,1.2439999999999998
Taplejung,27.4,87.7,16.988999999999997,2.495
Terhathum,27.1,87.5,16.988999999999997,2.495
Udayapur,26.9,86.5,26.677999999999997,1.784
